,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,도로폭,도로규모,행정구역,고도의_차이,경사각,최근접_시설들_거리,최근접_시설의_평균거리,2019_평균_온도,2020_평균_온도,2021_평균_온도,2022_평균_온도,2023_평균_온도,2024_평균_온도,종합_평균_기온,행정동,생활인구,최근접_시설들_최소거리,최근접_시설들_최대거리,점수
5519,자양로50길,0,주거지 도로,37.5521024,127.0935465,37.5520459,127.0932032,37.55207415,127.0933749,30.90898335,6m미만,소로,광진구,0.3582534790039062,0.6640633239905569,"115.36888201605072 ,93.24786108398587 ,97.75005900607277 ,141.53140822448907 ,141.53140822448907",117.8859237110175,4.520679296000037,1.0298554700000109,-2.588118699999973,-4.68609937599997,-4.8549495639999805,-2.7612983799999804,-1.556655,구의2동,457624.6836290909,93.24786108398588,141.53140822448907,0.0332647
4803,능동로7길,0,주거지 도로,37.5370318,127.0681481,37.5367793,127.0690321,37.53690555,127.0685901,82.84786144,6m미만,소로,광진구,0.0733947753906196,0.0507582898496773,"67.76729963863649 ,85.79085721854548 ,95.26626794636528 ,199.24441594606466 ,199.2444159748738",129.46265134489713,3.531504308000012,0.0756582200000176,-5.174192631999984,-2.982045504999988,-7.977481734999991,-3.3805296699999823,-2.651181,자양4동,627107.2152381819,67.76729963863649,199.2444159748738,0.033260666
6424,능동로7길,0,주거지 도로,37.5367793,127.0690321,37.5370318,127.0681481,37.53690555,127.0685901,82.84786144,6m미만,소로,광진구,0.0733947753906196,0.0507582898496773,"67.76729963863649 ,85.79085721854548 ,95.26626794636528 ,199.24441594606466 ,199.2444159748738",129.46265134489713,3.531504308000012,0.0756582200000176,-5.174192631999984,-2.982045504999988,-7.977481734999991,-3.3805296699999823,-2.651181,자양4동,627107.2152381819,67.76729963863649,199.2444159748738,0.033260666
2923,자양로4길,0,주거지 도로,37.5323738,127.0883773,37.5318237,127.0883931,37.53209875,127.0883852,61.18428024,폭6-8m,소로3류,광진구,0.190170288085941,0.1780838992892033,"131.80526212163264 ,153.40259218075096 ,177.7146422398133 ,157.2623973728362 ,171.00736457332627",158.23845169767188,4.242452468000022,1.0628963300000294,-2.530012359999978,-2.8738651719999666,-4.3032811359999865,-3.597004269999976,-1.333136,자양2동,504804.4805581818,131.80526212163264,177.7146422398133,0.03321961
2924,자양로4길,0,주거지 도로,37.5318237,127.0883931,37.5323738,127.0883773,37.53209875,127.0883852,61.18428024,폭6-8m,소로3류,광진구,0.190170288085941,0.1780838992892033,"131.80526212163264 ,153.40259218075096 ,177.7146422398133 ,157.2623973728362 ,171.00736457332627",158.23845169767188,4.242452468000022,1.0628963300000294,-2.530012359999978,-2.8738651719999666,-4.3032811359999865,-3.597004269999976,-1.333136,자양2동,504804.4805581818,131.80526212163264,177.7146422398133,0.03321961
5337,자양로51길,0,주거지 도로,37.5540112,127.0923149,37.5536239,127.0928479,37.55381755,127.0925814,63.73639701,6m미만,소로,광진구,0.421295166015625,0.3787179481545416,"58.03900986739493 ,81.46170855671598 ,81.46170855671598 ,81.46170855671598 ,93.61433368535077",79.20769384457871,5.224107812000023,1.4713497200000063,-2.434307799999965,-4.488537819999988,-4.454357619999973,-1.8589410999999816,-1.090114,구의2동,457624.6836290909,58.03900986739493,93.61433368535076,0.03314222
5312,자양로51길,0,주거지 도로,37.5536239,127.0928479,37.5540112,127.0923149,37.55381755,127.0925814,63.73639701,6m미만,소로,광진구,0.421295166015625,0.3787179481545416,"58.03900986739493 ,81.46170855671598 ,81.46170855671598 ,81.46170855671598 ,93.61433368535077",79.20769384457871,5.224107812000023,1.4713497200000063,-2.434307799999965,-4.488537819999988,-4.454357619999973,-1.8589410999999816,-1.090114,구의2동,457624.6836290909,58.03900986739493,93.61433368535076,0.03314222
4605,능동로36길,0,주거지 도로,37.5560285,127.0802656,37.5562187,127.0797766,37.5561236,127.0800211,48.01449133,6m미만,소로,광진구,0.3792362213134801,0.4525344992047909,"170.11043253610546 ,227.76338069708697 ,189.6289407576264 ,277.44176939388035 ,280.36150435534677",229.0612055480092,4.256808152000031,1.1489165000000223,-4.573304715999984,-3.77485524399998,-7.716003204999979,-3.355464189999973,-2.33565,능동,371402.6744345455,170.11043253610546,280.3615043553468,0.033102542
4242,능동로36길,0,주거지 도로,37.5562187,127.0797766,37.5560285,127.0802656,37.5561236,127.0800211,48.01449133,6m미만,소로,광진구,0.3792362213134801,0.4525344992047909,"170.11043253610546 ,227.76338069708697 ,189.6289407576264 ,277.44176939388035 ,280.36150435534677",229.0612055480092,4.256808152000031,1.1489165000000223,-4.573304715999984,-3.77485524399998,-7.716003204999979,-3.355464189999973,-2.33565,능동,371402.6744345455,170.11043253610546,280.3615043553468,0.033102542
5068,자양로34길,0,주거지 도로,37.5455054,127.0873787,37.5453717,127.0875929,37.54543855,127.0874858,24.03431692,6m미만,소로,광진구,0.0108222961425816,0.0257994737168672,"21.880800363963168 ,58.04247115870448 ,80.44197996328155 ,162.1547631861159 ,175.87062461007017",99.67812785642708,4.475561432000018,1.0953675200000248,-3.223186815999969,-2.868396339999981,-4.938349251999978,-3.2677350099999765,-1.454456,구의2동,457624.6836290909,21.880800363963168,175.87062461007017,0.033093765
4651,자양로34길,0,주거지 도로,37.5453717,127.0875929,37.5455054,127.0873787,37.54543855,127.0874858,24.03431692,6m미만,소로,광진구,0.0108222961425816,0.0257994737168672,"21.880800363963168 ,58.04247115870448 ,80.44197996328155 ,162.1547631861159 ,175.87062461007017",99.67812785642708,4.475561432000018,1.0953675200000248,-3.223186815999969,-2.868396339999981,-4.938349251999978,-3.2677350099999765,-1.454456,구의2동,457624.6836290909,21.880800363963168,175.87062461007017,0.033093765
3047,자양번영로2길,0,주거지 도로,37.5299706,127.0779722,37.5299159,127.0782776,37.52994325,127.0781249,27.60897988,6m미만,소로,광진구,0.0519418716430699,0.1077928532866283,"129.13988960807634 ,181.59074900630654 ,189.79106129438418 ,207.0082123163229 ,261.3990514110854",193.78579272723505,4.2848359160000085,1.1751213200000166,-2.934022323999966,-1.9981684479999784,-4.524085227999978,-4.087490139999981,-1.347301,자양2동,504804.4805581818,129.13988960807634,261.3990514110854,0.033077147
1709,천호대로112길,0,주거지 도로,37.5542428,127.0800908,37.554102,127.0805294,37.5541724,127.0803101,41.71348287,폭6-8m,소로3류,광진구,0.6809787750244212,0.9352803112331332,"61.32653491127407 ,160.4683102546529 ,312.6908475619315 ,324.5469758672417 ,298.5930672456326",231.5251471681466,4.720291664000001,1.2007564700000348,-4.648501155999975,-4.254745251999987,-7.404108879999981,-3.218173719999996,-2.267413,능동,371402.6744345455,61.32653491127407,324.5469758672417,0.03306649
1708,천호대로112길,0,주거지 도로,37.554102,127.0805294,37.5542428,127.0800908,37.5541724,127.0803101,41.71348287,폭6-8m,소로3류,광진구,0.6809787750244212,0.9352803112331332,"61.32653491127407 ,160.4683102546529 ,312.6908475619315 ,324.5469758672417 ,298.5930672456326",231.5251471681466,4.720291664000001,1.2007564700000348,-4.648501155999975,-4.254745251999987,-7.404108879999981,-3.218173719999996,-2.267413,능동,371402.6744345455,61.32653491127407,324.5469758672417,0.03306649
3704,미가로,0,주거지 도로,37.5376078,127.0844261,37.537391,127.0835258,37.5374994,127.0839759,82.99377854,6m미만,소로,광진구,2.2927532196044886,1.5830432970573018,"164.2664145057457 ,215.31270865193463 ,220.28944609840204 ,277.6099268605476 ,272.9253864755631",230.0807765184386,4.416771488000018,1.282219280000021,-2.3980767879999805,-3.0912512439999658,-4.4905886319999695,-2.5488114699999707,-1.13829,구의1동,525582.6877527273,164.2664145057457,277.6099268605476,0.033046238
2604,미가로,0,주거지 도로,37.537391,127.0835258,37.5376078,127.0844261,37.5374994,127.0839759,82.99377854,6m미만,소로,광진구,2.2927532196044886,1.5830432970573018,"164.2664145057457 ,215.31270865193463 ,220.28944609840204 ,277.6099268605476 ,272.9253864755631",230.0807765184386,4.416771488000018,1.282219280000021,-2.3980767879999805,-3.0912512439999658,-4.4905886319999695,-2.5488114699999707,-1.13829,구의1동,525582.6877527273,164.2664145057457,277.6099268605476,0.033046238
5380,자양로49길,0,주거지 도로,37.5523553,127.0926757,37.5528323,127.0919754,37.5525938,127.0923255,81.39063391,6m미만,소로,광진구,0.6923904418945312,0.4874043520993659,"42.26864475866032 ,56.487156276041375 ,56.487156276041375 ,56.487156276041375 ,63.18867703190953",54.9837581237388,4.941779360000032,1.26740786000002,-2.255203551999989,-4.208260179999968,-4.656020799999976,-2.0042069499999777,-1.152417,구의2동,457624.6836290909,42.26864475866032,63.18867703190953,0.032998096
5376,자양로49길,0,주거지 도로,37.5528323,127.0919754,37.5523553,127.0926757,37.5525938,127.0923255,81.39063391,6m미만,소로,광진구,0.6923904418945312,0.4874043520993659,"42.26864475866032 ,56.487156276041375 ,56.487156276041375 ,56.487156276041375 ,63.18867703190953",54.9837581237388,4.941779360000032,1.26740786000002,-2.255203551999989,-4.208260179999968,-4.656020799999976,-2.0042069499999777,-1.152417,구의2동,457624.6836290909,42.26864475866032,63.18867703190953,0.032998096
4604,능동로36길,0,주거지 도로,37.5560285,127.0802656,37.5555724,127.0814378,37.55580045,127.0808517,115.1057768,6m미만,소로,광진구,0.979102134704588,0.4873530061808265,"237.80926515993858 ,232.0811424709377 ,266.2859863552064 ,250.80685982782848 ,293.59991239662935",256.1166332421081,4.280734292000034,1.0469455700000292,-4.666274859999976,-4.141266987999972,-7.82452533999998,-3.430660629999977,-2.455841,능동,371402.6744345455,232.0811424709377,293.5999123966293,0.032970216
4235,능동로36길,0,주거지 도로,37.5555724,127.0814378,37.5560285,127.0802656,37.55580045,127.0808517,115.1057768,6m미만,소로,광진구,0.979102134704588,0.4873530061808265,"237.80926515993858 ,232.0811424709377 ,266.2859863552064 ,250.80685982782848 ,293.59991239662935",256.1166332421081,4.280734292000034,1.0469455700000292,-4.666274859999976,-4.141266987999972,-7.82452533999998,-3.430660629999977,-2.455841,능동,371402.6744345455,232.0811424709377,293.5999123966293,0.032970216
3128,자양로3길,0,주거지 도로,37.5306761,127.0856877,37.5315605,127.0850258,37.5311183,127.0853568,114.3572705,6m미만,소로,광진구,0.6637611389160121,0.332557242330624,"69.15714154397149 ,69.15714154397149 ,76.01828735073397 ,114.83258856356876 ,114.83258856356876",88.7995495131629,5.055257624000012,1.612058210000015,-2.639388999999966,-1.9291244439999784,-3.7885273239999777,-2.3044230399999748,-0.665691,자양2동,504804.4805581818,69.15714154397149,114.83258856356876,0.0329065
3221,자양로3길,0,주거지 도로,37.5315605,127.0850258,37.5306761,127.0856877,37.5311183,127.0853568,114.3572705,6m미만,소로,광진구,0.6637611389160121,0.332557242330624,"69.15714154397149 ,69.15714154397149 ,76.01828735073397 ,114.83258856356876 ,114.83258856356876",88.7995495131629,5.055257624000012,1.612058210000015,-2.639388999999966,-1.9291244439999784,-3.7885273239999777,-2.3044230399999748,-0.665691,자양2동,504804.4805581818,69.15714154397149,114.83258856356876,0.0329065
4623,능동로26길,0,주거지 도로,37.5527043,127.0779714,37.5526144,127.0784929,37.55265935,127.0782322,47.04697275,6m미만,소로,광진구,2.26961517333984,2.7618953840398275,"237.1298812882098 ,316.5809904743731 ,396.7169096080726 ,400.00239002175294 ,344.6262594947276",339.0112861774272,5.358094196000013,1.4440055600000126,-3.739991439999983,-3.4925267919999667,-7.004200539999971,-2.81028999999999,-1.707485,능동,371402.6744345455,237.1298812882098,400.00239002175294,0.03286715
4627,능동로26길,0,주거지 도로,37.5526144,127.0784929,37.5527043,127.0779714,37.55265935,127.0782322,47.04697275,6m미만,소로,광진구,2.26961517333984,2.7618953840398275,"237.1298812882098 ,316.5809904743731 ,396.7169096080726 ,400.00239002175294 ,344.6262594947276",339.0112861774272,5.358094196000013,1.4440055600000126,-3.739991439999983,-3.4925267919999667,-7.004200539999971,-2.81028999999999,-1.707485,능동,371402.6744345455,237.1298812882098,400.00239002175294,0.03286715
4128,능동로32길,0,주거지 도로,37.5525542,127.0859683,37.5528358,127.085286,37.552695,127.0856271,67.81040356,6m미만,소로,광진구,0.7889137268066406,0.666556298289526,"18.007613139933987 ,32.06950525834212 ,123.9762688122589 ,169.29492645794377 ,169.29492645794377",102.52864802528453,4.769511152000018,1.1654369300000174,-3.3564895959999945,-4.898016615999995,-4.437267519999983,-2.915109279999991,-1.611989,능동,371402.6744345455,18.007613139933987,169.29492645794377,0.03283629
4143,능동로32길,0,주거지 도로,37.5528358,127.085286,37.5525542,127.0859683,37.552695,127.0856271,67.81040356,6m미만,소로,광진구,0.7889137268066406,0.666556298289526,"18.007613139933987 ,32.06950525834212 ,123.9762688122589 ,169.29492645794377 ,169.29492645794377",102.52864802528453,4.769511152000018,1.1654369300000174,-3.3564895959999945,-4.898016615999995,-4.437267519999983,-2.915109279999991,-1.611989,능동,371402.6744345455,18.007613139933987,169.29492645794377,0.03283629
3014,뚝섬로52라길,0,주거지 도로,37.5296425,127.0796415,37.5296231,127.0797347,37.5296328,127.0796881,8.496950486,6m미만,소로,광진구,0.1200637817382777,0.809549250726413,"40.39073014777925 ,57.64620933832927 ,91.97365696587288 ,288.7245289125202 ,238.34153165409154",143.41533140371865,3.7153937840000255,0.704004230000019,-2.85198984399998,-2.281180503999974,-5.12155512399998,-4.541517129999979,-1.729474,자양2동,504804.4805581818,40.39073014777925,288.7245289125202,0.032834277
6640,능동로49길,0,주거지 도로,37.564859,127.0814982,37.5650979,127.0808207,37.56497845,127.0811595,65.35709401,6m미만,소로,광진구,0.2914543151855504,0.2555042467964973,"20.640381493387675 ,101.72472358069399 ,102.70184669263601 ,102.70184669263601 ,102.70184669263601",86.09412903039795,4.595192132000022,3.2834699900000146,-4.029839535999974,-4.927411587999984,-7.085378514999974,-2.9435927799999795,-1.85126,중곡3동,353811.96346909093,20.640381493387675,102.701846692636,0.032691058
3694,자양번영로11길,0,주거지 도로,37.5374485,127.0746676,37.5373791,127.0749444,37.5374138,127.074806,25.59716502,6m미만,소로,광진구,0.6173315048217702,1.3815469205875452,"72.29058423600081 ,72.29058423600081 ,103.87788534374346 ,140.4061246267917 ,169.8091106332864",111.73485781516464,4.231514804000028,1.1141666300000186,-3.8158714839999903,-3.2006278839999824,-7.68182300499997,-3.011953179999987,-2.060766,자양3동,619954.473070909,72.29058423600081,169.8091106332864,0.03268572
1776,자양번영로11길,0,주거지 도로,37.5373791,127.0749444,37.5374485,127.0746676,37.5374138,127.074806,25.59716502,6m미만,소로,광진구,0.6173315048217702,1.3815469205875452,"72.29058423600081 ,72.29058423600081 ,103.87788534374346 ,140.4061246267917 ,169.8091106332864",111.73485781516464,4.231514804000028,1.1141666300000186,-3.8158714839999903,-3.2006278839999824,-7.68182300499997,-3.011953179999987,-2.060766,자양3동,619954.473070909,72.29058423600081,169.8091106332864,0.03268572
2223,천호대로140길,0,주거지 도로,37.5451594,127.1013867,37.5457482,127.1019559,37.5454538,127.1016713,82.49177558,폭10-12m,소로1류,광진구,0.6538124084472585,0.4541076567041667,"177.18308473482676 ,182.812936124862 ,189.04750040772555 ,192.9959808457174 ,250.59165688965413",198.5262318005572,3.2170464680000235,0.4311323000000205,-2.9996483079999847,-5.34133380999999,-5.14137963999998,-2.283535139999979,-2.01962,광장동,845003.6362,177.18308473482676,250.59165688965413,0.03263623
4037,천호대로140길,0,주거지 도로,37.5457482,127.1019559,37.5451594,127.1013867,37.5454538,127.1016713,82.49177558,폭10-12m,소로1류,광진구,0.6538124084472585,0.4541076567041667,"177.18308473482676 ,182.812936124862 ,189.04750040772555 ,192.9959808457174 ,250.59165688965413",198.5262318005572,3.2170464680000235,0.4311323000000205,-2.9996483079999847,-5.34133380999999,-5.14137963999998,-2.283535139999979,-2.01962,광장동,845003.6362,177.18308473482676,250.59165688965413,0.03263623
6408,성덕정17길,0,주거지 도로,37.5420409,127.0805211,37.5422046,127.0799674,37.54212275,127.0802443,52.63732752,6m미만,소로,광진구,2.11712646484375,2.3269240752228133,"98.55239349411688 ,127.24116194925314 ,147.87212043381555 ,196.46551525106236 ,320.4163965664924",178.10951753894807,3.5964466880000145,0.6675453500000117,-3.4474089279999705,-2.641439811999976,-4.673110899999966,-2.3283491799999845,-1.471053,화양동,933033.0985672728,98.55239349411688,320.4163965664924,0.032545626
3559,아차산로40길,0,주거지 도로,37.5353296,127.0787259,37.5353928,127.0783323,37.5353612,127.0785291,35.65063267,6m미만,소로,광진구,0.0228252410888707,0.0369327207135779,"154.44873766143542 ,203.92145206003818 ,202.26262084272884 ,227.97755397486281 ,215.25939701597255",200.77395231100755,5.232994664000023,1.6416810500000167,-2.170436655999981,-1.67345654799999,-3.890384319999975,-2.8587119499999765,-0.619719,자양1동,598211.9410745455,154.44873766143542,227.9775539748628,0.032537542
2296,아차산로40길,0,주거지 도로,37.5353928,127.0783323,37.5353296,127.0787259,37.5353612,127.0785291,35.65063267,6m미만,소로,광진구,0.0228252410888707,0.0369327207135779,"154.44873766143542 ,203.92145206003818 ,202.26262084272884 ,227.97755397486281 ,215.25939701597255",200.77395231100755,5.232994664000023,1.6416810500000167,-2.170436655999981,-1.67345654799999,-3.890384319999975,-2.8587119499999765,-0.619719,자양1동,598211.9410745455,154.44873766143542,227.9775539748628,0.032537542
3022,뚝섬로52다길,0,주거지 도로,37.5296862,127.0794316,37.5302343,127.079603,37.52996025,127.0795173,62.79220318,6m미만,소로,광진구,0.5001564025878977,0.456366936792996,"75.04698261338423 ,67.68465004663676 ,131.32132219285563 ,253.84925897175435 ,282.5374726530543",162.08793729553705,3.8739899120000247,0.7928727500000244,-2.9169322239999813,-2.138307267999983,-5.065499595999978,-4.39226358999998,-1.641023,자양2동,504804.4805581818,67.68465004663676,282.5374726530543,0.03253599
3080,뚝섬로52다길,0,주거지 도로,37.5302343,127.079603,37.5296862,127.0794316,37.52996025,127.0795173,62.79220318,6m미만,소로,광진구,0.5001564025878977,0.456366936792996,"75.04698261338423 ,67.68465004663676 ,131.32132219285563 ,253.84925897175435 ,282.5374726530543",162.08793729553705,3.8739899120000247,0.7928727500000244,-2.9169322239999813,-2.138307267999983,-5.065499595999978,-4.39226358999998,-1.641023,자양2동,504804.4805581818,67.68465004663676,282.5374726530543,0.03253599
3532,아차산로58나길,0,주거지 도로,37.5350908,127.0897292,37.5352075,127.0901355,37.53514915,127.0899323,38.10339026,6m미만,소로,광진구,0.7722301483154297,1.161039324437837,"102.12500790505806 ,122.30791083014292 ,160.07700357780436 ,167.45493728633838 ,167.45493728633838",143.88395937713642,5.191978424000013,1.7521970300000096,-1.4512852479999765,-4.060601715999985,-4.169978355999985,-1.877170539999985,-0.769143,구의3동,668180.4635927272,102.12500790505806,167.45493728633838,0.03235349
3541,아차산로58나길,0,주거지 도로,37.5352075,127.0901355,37.5350908,127.0897292,37.53514915,127.0899323,38.10339026,6m미만,소로,광진구,0.7722301483154297,1.161039324437837,"102.12500790505806 ,122.30791083014292 ,160.07700357780436 ,167.45493728633838 ,167.45493728633838",143.88395937713642,5.191978424000013,1.7521970300000096,-1.4512852479999765,-4.060601715999985,-4.169978355999985,-1.877170539999985,-0.769143,구의3동,668180.4635927272,102.12500790505806,167.45493728633838,0.03235349
1336,뚝섬로54길,0,주거지 도로,37.5280047,127.0793027,37.5285417,127.0795442,37.5282732,127.0794234,63.39580716,6m미만,소로,광진구,1.1858596801757777,1.0716312777375188,"83.2345427867129 ,144.9276040630786 ,191.91366184860533 ,299.50959949227934 ,314.5628864816501",206.82965893446527,4.346360276000008,1.4183704100000227,-2.51907469599999,-2.352958923999984,-4.509045939999976,-4.166104599999993,-1.297076,자양2동,504804.4805581818,83.2345427867129,314.5628864816501,0.032343056
1340,뚝섬로54길,0,주거지 도로,37.5285417,127.0795442,37.5280047,127.0793027,37.5282732,127.0794234,63.39580716,6m미만,소로,광진구,1.1858596801757777,1.0716312777375188,"83.2345427867129 ,144.9276040630786 ,191.91366184860533 ,299.50959949227934 ,314.5628864816501",206.82965893446527,4.346360276000008,1.4183704100000227,-2.51907469599999,-2.352958923999984,-4.509045939999976,-4.166104599999993,-1.297076,자양2동,504804.4805581818,83.2345427867129,314.5628864816501,0.032343056
1313,뚝섬로52길,0,주거지 도로,37.5308925,127.079097,37.5303492,127.0788659,37.53062085,127.0789815,63.75681447,폭6-8m,소로3류,광진구,1.09850978851318,0.9870919297121872,"141.88735873409132 ,161.7901964772404 ,196.8704429889914 ,195.2137018355867 ,217.3490496455667",182.62214993629533,4.427709152000011,1.2030351500000147,-2.6325529599999755,-1.920921195999984,-4.517932791999977,-3.8938023399999744,-1.222411,자양2동,504804.4805581818,141.88735873409132,217.3490496455667,0.032216318
1377,뚝섬로52길,0,주거지 도로,37.5303492,127.0788659,37.5308925,127.079097,37.53062085,127.0789815,63.75681447,폭6-8m,소로3류,광진구,1.09850978851318,0.9870919297121872,"141.88735873409132 ,161.7901964772404 ,196.8704429889914 ,195.2137018355867 ,217.3490496455667",182.62214993629533,4.427709152000011,1.2030351500000147,-2.6325529599999755,-1.920921195999984,-4.517932791999977,-3.8938023399999744,-1.222411,자양2동,504804.4805581818,141.88735873409132,217.3490496455667,0.032216318
4677,광나루로37길,0,주거지 도로,37.5452426,127.0884111,37.5452321,127.0886051,37.54523735,127.0885081,17.14352636,6m미만,소로,광진구,0.1078529357910191,0.3604535673299997,"46.57211106215136 ,74.26160916719165 ,91.49890886023174 ,157.41797316412266 ,159.31854762283155",105.8138299753058,4.110516896000024,0.6595699700000258,-3.447408927999976,-3.1056069279999745,-5.418239259999984,-3.238681839999989,-1.739975,구의2동,457624.6836290909,46.57211106215136,159.31854762283157,0.032196257
4681,광나루로37길,0,주거지 도로,37.5452321,127.0886051,37.5452426,127.0884111,37.54523735,127.0885081,17.14352636,6m미만,소로,광진구,0.1078529357910191,0.3604535673299997,"46.57211106215136 ,74.26160916719165 ,91.49890886023174 ,157.41797316412266 ,159.31854762283155",105.8138299753058,4.110516896000024,0.6595699700000258,-3.447408927999976,-3.1056069279999745,-5.418239259999984,-3.238681839999989,-1.739975,구의2동,457624.6836290909,46.57211106215136,159.31854762283157,0.032196257
4137,천호대로116길,0,주거지 도로,37.5526408,127.0812209,37.5525485,127.0814829,37.55259465,127.0813519,25.27422858,6m미만,소로,광진구,1.4431629180908203,3.2680550741971155,"121.74618277028308 ,136.81651652571492 ,166.73752534516535 ,296.53391616720035 ,420.24213831262944",228.41525582419865,5.013557780000042,1.2919036700000106,-2.959315671999991,-3.8466336639999774,-7.425471504999976,-3.1213298199999806,-1.841215,능동,371402.6744345455,121.74618277028308,420.24213831262944,0.032130282
4125,천호대로116길,0,주거지 도로,37.5525485,127.0814829,37.5526408,127.0812209,37.55259465,127.0813519,25.27422858,6m미만,소로,광진구,1.4431629180908203,3.2680550741971155,"121.74618277028308 ,136.81651652571492 ,166.73752534516535 ,296.53391616720035 ,420.24213831262944",228.41525582419865,5.013557780000042,1.2919036700000106,-2.959315671999991,-3.8466336639999774,-7.425471504999976,-3.1213298199999806,-1.841215,능동,371402.6744345455,121.74618277028308,420.24213831262944,0.032130282
4278,자양강변길,0,주거지 도로,37.5317475,127.0668818,37.5317698,127.0667977,37.53175865,127.0668397,7.819470873,폭6-8m,소로3류,광진구,0.44097900390625,3.2277806551287025,"123.72663802554226 ,169.69549677898547 ,177.84655044547586 ,293.3244361125267 ,342.2219644181056",221.3630171561272,4.557593912000027,1.171133630000033,-3.180803367999988,-2.441143839999981,-7.272515109999986,-2.6952166599999807,-1.643492,자양4동,627107.2152381819,123.72663802554226,342.2219644181056,0.032019358
2521,긴고랑로46길,0,주거지 도로,37.5601357,127.0958942,37.5601223,127.0955795,37.560129,127.0957368,27.77950484,6m미만,소로,광진구,4.912849426269524,10.029162456171504,"259.6340277900057 ,275.79616772255383 ,385.6761867671007 ,494.8891161190822 ,571.4204576058409",397.4831912009166,3.231402152000032,1.8986022200000243,-4.952704935999975,-5.157786135999982,-5.877621147999975,-3.3600215499999755,-2.369688,중곡4동,571703.5397563636,259.6340277900057,571.4204576058409,0.031924702
2523,긴고랑로46길,0,주거지 도로,37.5601223,127.0955795,37.5601357,127.0958942,37.560129,127.0957368,27.77950484,6m미만,소로,광진구,4.912849426269524,10.029162456171504,"259.6340277900057 ,275.79616772255383 ,385.6761867671007 ,494.8891161190822 ,571.4204576058409",397.4831912009166,3.231402152000032,1.8986022200000243,-4.952704935999975,-5.157786135999982,-5.877621147999975,-3.3600215499999755,-2.369688,중곡4동,571703.5397563636,259.6340277900057,571.4204576058409,0.031924702
4144,능동로32길,0,주거지 도로,37.5528358,127.085286,37.5521511,127.0848497,37.55249345,127.0850679,85.29891717,6m미만,소로,광진구,2.85100173950196,1.914324533840864,"71.94018252676001 ,86.15850029163988 ,112.03361923993536 ,166.11923206808265 ,213.31756513489256",129.9138198522621,4.851543632000016,1.20132614000003,-3.2279720439999777,-4.849480731999972,-4.37300874399998,-3.0495513999999795,-1.574524,능동,371402.6744345455,71.94018252676001,213.31756513489256,0.031917952
4117,능동로32길,0,주거지 도로,37.5521511,127.0848497,37.5528358,127.085286,37.55249345,127.0850679,85.29891717,6m미만,소로,광진구,2.85100173950196,1.914324533840864,"71.94018252676001 ,86.15850029163988 ,112.03361923993536 ,166.11923206808265 ,213.31756513489256",129.9138198522621,4.851543632000016,1.20132614000003,-3.2279720439999777,-4.849480731999972,-4.37300874399998,-3.0495513999999795,-1.574524,능동,371402.6744345455,71.94018252676001,213.31756513489256,0.031917952
4611,천호대로110길,0,주거지 도로,37.5561883,127.0803601,37.5566093,127.0806118,37.5563988,127.0804859,51.80703435,6m미만,소로,광진구,0.6359167098999006,0.7032836598214433,"220.3643994738981 ,205.14397819172578 ,231.70662932160883 ,231.22173223126364 ,303.47376942736327",238.38210172917192,4.113934916000005,0.8760445700000048,-4.609535727999969,-3.886966299999983,-7.846742469999967,-3.4631318199999868,-2.469399,능동,371402.6744345455,205.14397819172572,303.47376942736327,0.03181094
5203,천호대로110길,0,주거지 도로,37.5566093,127.0806118,37.5561883,127.0803601,37.5563988,127.0804859,51.80703435,6m미만,소로,광진구,0.6359167098999006,0.7032836598214433,"220.3643994738981 ,205.14397819172578 ,231.70662932160883 ,231.22173223126364 ,303.47376942736327",238.38210172917192,4.113934916000005,0.8760445700000048,-4.609535727999969,-3.886966299999983,-7.846742469999967,-3.4631318199999868,-2.469399,능동,371402.6744345455,205.14397819172572,303.47376942736327,0.03181094
3357,자양로13다길,0,주거지 도로,37.532766,127.0791649,37.5327165,127.0793182,37.53274125,127.0792416,14.59537035,폭6-8m,소로3류,광진구,0.0734176635742187,0.2882073305698366,"80.50559778936241 ,103.4728542568437 ,101.10136931894665 ,103.92289655124777 ,114.61436593904317",100.72341677108876,5.047737980000034,1.6735825700000078,-2.790465483999969,-2.3180951199999758,-3.6415524639999832,-2.929351029999983,-0.826357,자양1동,598211.9410745455,80.50559778936241,114.61436593904315,0.031554013
2309,자양로13다길,0,주거지 도로,37.5327165,127.0793182,37.532766,127.0791649,37.53274125,127.0792416,14.59537035,폭6-8m,소로3류,광진구,0.0734176635742187,0.2882073305698366,"80.50559778936241 ,103.4728542568437 ,101.10136931894665 ,103.92289655124777 ,114.61436593904317",100.72341677108876,5.047737980000034,1.6735825700000078,-2.790465483999969,-2.3180951199999758,-3.6415524639999832,-2.929351029999983,-0.826357,자양1동,598211.9410745455,80.50559778936241,114.61436593904315,0.031554013
